,Home team,Away team,Date,Result,Home points,Away points,Q1 home,Q2 home,Q3 home,Q4 home,Q5 home,Q1 away,Q2 away,Q3 away,Q4 away,Q5 away
0,Denver,Portland,24/02/2021,H,111,106,34,23,21,33,,25,32,21,28,
1,LA Clippers,Washington,24/02/2021,H,135,116,36,36,27,36,,20,35,39,22,
2,Milwaukee,Minnesota,24/02/2021,H,139,112,38,41,34,26,,36,26,27,23,
3,NY Knicks,Golden State,24/02/2021,A,106,114,31,28,26,21,,36,19,39,20,
4,Dallas,Boston,24/02/2021,H,110,107,34,21,25,30,,31,25,20,31,
5,Toronto,Philadelphia,24/02/2021,A,102,109,18,24,23,37,,37,18,24,30,
6,Brooklyn,Sacramento,24/02/2021,H,127,118,42,30,26,29,,28,38,30,22,
7,Cleveland,Atlanta,24/02/2021,H,112,111,28,30,26,28,,27,28,29,27,
8,Orlando,Detroit,24/02/2021,A,93,105,24,27,14,28,,34,19,26,26,
9,LA Lakers,Washington,23/02/21,A,124,127,33,30,23,29,9,23,26,31,35,12
10,Oklahoma,Miami,23/02/21,A,94,108,21,33,23,17,,23,22,34,29,
11,Phoenix,Portland,23/02/21,H,132,100,32,31,37,32,,26,28,17,29,
12,Utah Jazz,Charlotte,23/02/21,H,132,110,35,29,27,41,,35,32,23,20,
13,Dallas,Memphis,23/02/21,H,102,92,26,28,27,21,,13,23,26,30,
14,Houston,Chicago,23/02/21,A,100,120,24,24,26,26,,29,25,46,20,
15,Milwaukee,Sacramento,22/02/21,H,128,115,28,42,29,29,,25,31,26,33,
16,LA Clippers,Brooklyn,22/02/21,A,108,112,30,21,28,29,,28,30,31,23,
17,Atlanta,Denver,22/02/21,H,123,115,27,37,29,30,,33,23,20,39,
18,Toronto,Philadelphia,22/02/21,H,110,103,28,24,31,27,,24,31,29,19,
19,Cleveland,Oklahoma,22/02/21,A,101,117,28,23,24,26,,31,31,24,31,
20,NY Knicks,Minnesota,22/02/21,H,103,99,30,31,26,16,,18,32,21,28,
21,Orlando,Detroit,22/02/21,H,105,96,28,28,27,22,,26,22,28,20,
22,New Orleans,Boston,21/02/21,H,120,115,28,19,27,34,12,30,33,24,21,7
23,Portland,Washington,21/02/21,A,111,118,43,12,37,19,,31,30,28,29,
24,Chicago,Sacramento,21/02/21,H,122,114,28,40,27,27,,21,37,25,31,
25,Memphis,Phoenix,21/02/21,A,97,128,15,19,30,33,,28,37,31,32,
26,LA Lakers,Miami,21/02/21,A,94,96,23,29,25,17,,36,23,22,15,
27,Charlotte,Golden State,21/02/21,H,102,100,24,21,24,33,,15,32,22,31,
28,LA Clippers,Utah Jazz,20/02/21,H,116,112,31,26,22,37,,23,26,26,37,
29,Minnesota,Toronto,20/02/21,A,81,86,15,20,29,17,,28,17,13,28,
30,Milwaukee,Oklahoma,20/02/21,H,98,85,16,30,32,20,,20,22,20,23,
31,New Orleans,Phoenix,20/02/21,A,114,132,34,32,36,12,,33,26,32,41,
32,Memphis,Detroit,20/02/21,H,109,95,35,18,31,25,,17,26,30,22,
33,Boston,Atlanta,20/02/21,H,121,109,33,33,32,23,,22,19,32,36,
34,Philadelphia,Chicago,20/02/21,H,112,105,32,26,27,27,,30,23,26,26,
35,Orlando,Golden State,20/02/21,H,124,120,37,27,29,31,,34,17,43,26,
